,0,1,2,3,4,5,6,7,8,9
16,"Row(('guyrose3/fast-rcnn', 4), {'repo_name': 0, 'count': 1})","Row(('ipashchenko/ml4vs', 2), {'repo_name': 0, 'count': 1})","Row(('Kebniss/TalkingData-Mobile-User-Demographics', 2), {'repo_name': 0, 'count': 1})","Row(('daniaki/ppi_wrangler', 1), {'repo_name': 0, 'count': 1})","Row(('pandas-ml/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('pcomputo/webpage-classifier', 1), {'repo_name': 0, 'count': 1})","Row(('Texju/DIT-Machine_Learning', 1), {'repo_name': 0, 'count': 1})","Row(('songjs1993/DeepLearning', 1), {'repo_name': 0, 'count': 1})","Row(('vberthiaume/vblandr', 1), {'repo_name': 0, 'count': 1})","Row(('ScottFreeLLC/AlphaPy', 1), {'repo_name': 0, 'count': 1})"
17,"Row(('sinhrks/expandas', 2), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('chengsoonong/acton', 1), {'repo_name': 0, 'count': 1})","Row(('aliciawyy/dmining', 1), {'repo_name': 0, 'count': 1})",,,,,,
18,"Row(('danqiye1/CS4786', 5), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 3), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 3), {'repo_name': 0, 'count': 1})","Row(('adelomana/30sols', 3), {'repo_name': 0, 'count': 1})","Row(('adelomana/cassandra', 2), {'repo_name': 0, 'count': 1})","Row(('hugobuddel/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('katrielalex/cdt-modelling', 1), {'repo_name': 0, 'count': 1})","Row(('palmishr/3D_Curve_Reconstruct', 1), {'repo_name': 0, 'count': 1})","Row(('qusp/orange3', 1), {'repo_name': 0, 'count': 1})","Row(('jzbontar/orange-tree', 1), {'repo_name': 0, 'count': 1})"
19,"Row(('xychang/RecursiveHierarchicalClustering', 1), {'repo_name': 0, 'count': 1})","Row(('theislab/scanpy', 1), {'repo_name': 0, 'count': 1})",,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,"Row(('sinhrks/expandas', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('vene/pyowl', 1), {'repo_name': 0, 'count': 1})",,,,,,,
23,"Row(('quinngroup/fergus-ssl', 2), {'repo_name': 0, 'count': 1})","Row(('Upward-Spiral-Science/team1', 1), {'repo_name': 0, 'count': 1})","Row(('plant/envmixer', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/pandas-ml', 1), {'repo_name': 0, 'count': 1})","Row(('sinhrks/expandas', 1), {'repo_name': 0, 'count': 1})",,,,,
24,"Row(('cassinius/right-to-forget-data', 4), {'repo_name': 0, 'count': 1})","Row(('altermarkive/Machine-Learning-Course', 4), {'repo_name': 0, 'count': 1})","Row(('mdeff/ntds_2016', 3), {'repo_name': 0, 'count': 1})","Row(('ajdapretnar/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('qusp/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('antoinecarme/pyaf', 2), {'repo_name': 0, 'count': 1})","Row(('kwikadi/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('jzbontar/orange-tree', 2), {'repo_name': 0, 'count': 1})","Row(('qPCR4vir/orange3', 2), {'repo_name': 0, 'count': 1})","Row(('s-alexey/orange3', 2), {'repo_name': 0, 'count': 1})"
25,,,,,,,,,,
26,,,,,,,,,,
